Planet,Mass,x,y,vx,vy
Earth,6.0*10**24,9.384887914865430E-01,3.287443922398884E-01,-5.838932265148174E-03,1.621801974258600E-02
Jupiter, 1.9*10**27,2.530840380497989E+00,-4.445040606335634E+00,6.464708585362312E-03,4.091363589634699E-03
Mars, 6.6*10**23,1.326303661050539E+00,4.809144848646941E-01,-4.165979651049516E-03,1.437261484314232E-02
Venus, 4.9*10**24,-1.422059356274905E-01,7.123193321124441E-01,-1.993641762969933E-02,-3.947238737219898E-03
Saturn, 5.5*10**26,5.126132044227459E+00,-8.575118300880577E+00,4.478397288622445E-03,2.848518231807554E-03
Mercury, 3.3*10**23,3.288279159886733E-01,-2.037882981281509E-01,9.425053187620259E-03,2.511489739410318E-02
Uranus, 8.8*10**25,1.554469319510848E+01,1.223364479160990E+01,-2.461200051501666E-03,2.907464706861709E-03
Neptun, 1.03*10**26,2.941007139125117E+01,-5.477497780199493E+00,5.541220965615585E-04,3.105139503160872E-03
Pluto, 1.31*10**22,1.381590704436753E+01,-3.120158662565416E+01,2.939536114508748E-03,5.888646395918426E-04
